motorista_id;nome;sobrenome;empresa;regiao;rating;tempo_ativo_meses;categoria_carro;idade;modelo_carro;nota_motorista;genero
19;Gabriel;Carvalho;MoveX;Zona Oeste;21;42;Comfort;41;Hyundai HB20S 2022;4.27;Masculino
20;Miguel;Souza;GoDrive;Zona Sul;91;15;Comfort;40;Chevrolet Onix Plus 2023;4.28;Feminino
21;Heitor;Ferreira;GoDrive;Zona Leste;498;41;Comfort;28;Jeep Renegade 2021;4.37;Masculino
22;Felipe;Martins;MoveX;Centro;418;17;Econômico;52;Citroën C3 2023;4.87;Masculino
23;Isadora;Rodrigues;MoveX;Zona Oeste;385;27;Comfort;31;VW Virtus 2022;4.63;Feminino
24;Helena;Barbosa;GoDrive;Zona Sul;51;7;Black;29;Toyota Corolla Cross 2024;4.42;Feminino
25;Julia;Souza;RideUp;Zona Norte;102;4;Comfort;45;Nissan Kicks 2022;4.32;Masculino
26;Gustavo;Lima;GoDrive;Zona Leste;274;59;Econômico;23;Renault Kwid 2024;4.77;Feminino
27;Matheus;Santos;GoDrive;Zona Leste;407;41;Comfort;25;Hyundai HB20S 2022;4.40;Masculino
28;Lara;Vieira;GoDrive;Centro;480;13;Black;36;Toyota Corolla Cross 2024;4.42;Masculino
29;Valentina;Costa;RideUp;Centro;285;7;Comfort;23;Chevrolet Onix Plus 2023;4.38;Masculino
30;Bruno;Silva;RideUp;Centro;462;32;Comfort;52;Nissan Versa 2023;4.67;Feminino
31;Alice;Santos;MoveX;Zona Leste;310;21;Comfort;49;VW Virtus 2022;4.52;Feminino
32;Maria;Costa;RideUp;Zona Oeste;197;40;Black;27;Toyota Corolla Cross 2024;4.15;Feminino
33;Helena;Barbosa;RideUp;Zona Oeste;411;31;Comfort;58;VW Virtus 2022;4.96;Masculino
34;Matheus;Soares;RideUp;Zona Sul;43;60;Econômico;25;Fiat Mobi 2022;4.60;Masculino
35;Valentina;Souza;GoDrive;Zona Leste;367;49;Econômico;37;Renault Kwid 2024;4.94;Feminino
36;Gael;Fernandes;RideUp;Zona Oeste;217;42;Black;50;VW Taos 2023;4.54;Feminino
37;Bruno;Ribeiro;GoDrive;Zona Sul;194;14;Econômico;53;Fiat Mobi 2022;4.53;Masculino
38;Lucas;Fernandes;RideUp;Centro;157;21;Comfort;49;Chevrolet Onix Plus 2023;4.88;Masculino
39;Arthur;Gomes;RideUp;Zona Leste;443;45;Econômico;25;Toyota Etios 2020;4.16;Feminino
40;Ana;Lima;RideUp;Centro;487;31;Econômico;41;Toyota Etios 2020;4.65;Masculino
41;Helena;Souza;GoDrive;Centro;312;56;Black;43;Jeep Compass 2023;4.51;Feminino
42;Rafael;Almeida;GoDrive;Centro;115;45;Comfort;53;Chevrolet Tracker 2022;4.01;Feminino
43;Lucas;Vieira;GoDrive;Zona Oeste;479;42;Black;53;VW Taos 2023;4.00;Masculino
44;Maria;Souza;GoDrive;Zona Leste;412;10;Comfort;33;Nissan Versa 2023;4.56;Feminino
45;Sofia;Fernandes;RideUp;Centro;131;16;Econômico;55;Hyundai HB20 2023;4.59;Masculino
46;Carla;Carvalho;RideUp;Zona Leste;412;60;Black;24;Toyota Corolla Cross 2024;4.12;Feminino
47;Gabriel;Vieira;MoveX;Zona Norte;73;28;Comfort;44;Honda City 2021;4.94;Masculino
48;Lara;Fernandes;GoDrive;Zona Leste;173;27;Black;28;Toyota Corolla 2024;4.48;Masculino
49;Carla;Carvalho;GoDrive;Zona Norte;393;12;Comfort;52;Jeep Renegade 2021;4.89;Masculino
50;Carla;Vieira;MoveX;Zona Oeste;208;26;Econômico;60;Chevrolet Onix 2022;4.23;Masculino
51;Pedro;Fernandes;MoveX;Zona Leste;272;26;Black;54;VW Taos 2023;4.95;Feminino
52;Felipe;Carvalho;RideUp;Zona Oeste;447;17;Black;23;Jeep Commander 2023;4.83;Feminino
53;Isadora;Silva;MoveX;Zona Leste;45;12;Econômico;48;Hyundai HB20 2023;4.77;Masculino
54;Bruno;Soares;RideUp;Centro;377;34;Comfort;21;Chevrolet Tracker 2022;4.01;Feminino
55;Lucas;Lima;GoDrive;Centro;477;12;Comfort;46;Jeep Renegade 2021;4.09;Masculino
56;Sofia;Lopes;RideUp;Zona Norte;277;12;Black;26;Jeep Compass 2023;4.54;Feminino
57;Gael;Lima;RideUp;Zona Oeste;416;3;Comfort;55;Honda City 2021;4.38;Masculino
58;Heitor;Oliveira;RideUp;Zona Sul;131;58;Comfort;30;Chevrolet Onix Plus 2023;4.94;Feminino
59;Ana;Ferreira;GoDrive;Zona Norte;56;17;Comfort;24;Nissan Versa 2023;4.43;Masculino
60;Gabriel;Santos;MoveX;Zona Norte;217;23;Comfort;21;VW Virtus 2022;4.07;Masculino
61;Gustavo;Oliveira;MoveX;Centro;284;56;Econômico;36;Chevrolet Onix 2022;4.65;Masculino
62;Camila;Vieira;GoDrive;Zona Leste;149;37;Econômico;58;Chevrolet Onix 2022;4.38;Feminino
63;Carla;Fernandes;GoDrive;Zona Sul;121;12;Econômico;42;Renault Kwid 2024;4.11;Feminino
64;Heloísa;Ribeiro;RideUp;Zona Oeste;348;54;Econômico;45;Fiat Mobi 2022;4.97;Masculino
65;Pedro;Rodrigues;MoveX;Zona Oeste;165;29;Comfort;29;Chevrolet Tracker 2022;4.34;Feminino
66;Sofia;Souza;GoDrive;Zona Leste;89;6;Econômico;60;VW Polo Track 2023;4.76;Feminino
67;Julia;Santos;MoveX;Zona Sul;316;3;Comfort;23;Fiat Cronos 2023;4.98;Masculino
68;Alice;Silva;GoDrive;Zona Leste;98;46;Econômico;23;VW Polo Track 2023;4.12;Masculino
69;Bernardo;Santos;MoveX;Zona Norte;221;2;Black;43;Toyota Corolla Cross 2024;4.80;Masculino
70;Bruno;Silva;MoveX;Centro;29;55;Black;36;Toyota Corolla Cross 2024;4.04;Feminino
71;Matheus;Martins;GoDrive;Zona Oeste;460;29;Black;51;VW Taos 2023;4.19;Masculino
72;Arthur;Pereira;GoDrive;Zona Sul;260;60;Comfort;36;Fiat Cronos 2023;4.61;Feminino
73;Julia;Rodrigues;MoveX;Zona Leste;209;6;Econômico;49;Toyota Etios 2020;4.52;Feminino
74;Lucas;Fernandes;GoDrive;Centro;255;29;Black;40;Toyota Corolla Cross 2024;4.28;Masculino
75;Gabriel;Santos;GoDrive;Zona Leste;20;7;Econômico;36;Toyota Etios 2020;4.73;Masculino
76;Julia;Silva;MoveX;Zona Norte;320;8;Black;50;VW Taos 2023;4.44;Feminino
77;Bernardo;Rodrigues;MoveX;Zona Oeste;158;22;Econômico;36;Citroën C3 2023;4.05;Masculino
78;Matheus;Lopes;MoveX;Zona Sul;256;60;Comfort;58;Jeep Renegade 2021;4.43;Masculino
79;Bernardo;Lima;MoveX;Zona Norte;483;24;Black;33;Jeep Compass 2023;4.77;Masculino
80;Bruno;Carvalho;GoDrive;Centro;222;38;Econômico;44;Toyota Etios 2020;4.32;Masculino
81;Helena;Ferreira;GoDrive;Centro;178;47;Econômico;42;Hyundai HB20 2023;4.55;Feminino
82;Bruno;Costa;RideUp;Zona Leste;314;46;Black;25;Jeep Commander 2023;4.34;Feminino
83;Gustavo;Martins;MoveX;Zona Leste;246;48;Black;54;Jeep Commander 2023;4.89;Masculino
84;Gustavo;Costa;GoDrive;Zona Norte;457;18;Econômico;41;VW Polo Track 2023;4.66;Masculino
85;Valentina;Lopes;MoveX;Zona Leste;337;37;Comfort;43;Fiat Cronos 2023;4.60;Masculino
86;Miguel;Martins;GoDrive;Zona Oeste;46;1;Comfort;56;Hyundai HB20S 2022;4.03;Feminino
87;Gabriel;Carvalho;MoveX;Zona Leste;337;16;Econômico;44;Fiat Mobi 2022;4.43;Feminino
88;Alice;Rodrigues;RideUp;Zona Sul;471;16;Comfort;56;Chevrolet Onix Plus 2023;4.84;Feminino
89;Arthur;Ferreira;RideUp;Zona Oeste;433;37;Econômico;41;Toyota Etios 2020;4.37;Feminino
90;Gael;Lima;MoveX;Zona Norte;392;5;Econômico;37;Chevrolet Onix 2022;4.88;Masculino
91;Arthur;Oliveira;MoveX;Zona Norte;257;25;Comfort;39;Chevrolet Onix Plus 2023;4.56;Masculino
92;Felipe;Fernandes;RideUp;Zona Norte;308;3;Comfort;49;Chevrolet Onix Plus 2023;4.42;Masculino
93;Heloísa;Alves;RideUp;Zona Oeste;235;23;Black;56;Honda Civic 2022;4.64;Feminino
94;Carla;Santos;RideUp;Zona Oeste;154;17;Econômico;25;Fiat Mobi 2022;4.43;Feminino
95;Pedro;Ribeiro;GoDrive;Zona Sul;99;21;Econômico;31;Renault Kwid 2024;4.24;Feminino
96;Helena;Pereira;RideUp;Zona Norte;317;45;Comfort;29;Honda City 2021;4.50;Feminino
97;Isadora;Carvalho;GoDrive;Zona Leste;250;30;Black;21;Jeep Compass 2023;4.55;Feminino
98;Lucas;Ferreira;GoDrive;Centro;404;1;Black;31;Toyota Corolla 2024;4.56;Feminino
99;Gustavo;Costa;MoveX;Zona Norte;477;21;Comfort;48;Fiat Cronos 2023;4.97;Feminino
100;Valentina;Costa;GoDrive;Centro;54;53;Econômico;21;Fiat Argo 2021;4.17;Masculino
101;Lara;Ferreira;GoDrive;Centro;223;8;Econômico;31;Renault Kwid 2024;4.85;Masculino
102;Lucas;Silva;GoDrive;Zona Sul;64;33;Black;37;Toyota Corolla Cross 2024;4.02;Masculino
103;Valentina;Gomes;RideUp;Zona Sul;445;34;Econômico;52;Citroën C3 2023;4.64;Feminino
104;Isadora;Barbosa;RideUp;Zona Oeste;378;14;Black;32;Jeep Commander 2023;4.96;Masculino
105;Ana;Ferreira;RideUp;Zona Leste;100;19;Econômico;47;Hyundai HB20 2023;4.40;Feminino
106;Rafael;Silva;MoveX;Zona Sul;59;5;Black;60;Toyota Corolla 2024;4.62;Feminino
107;Arthur;Ribeiro;RideUp;Centro;169;55;Comfort;40;Nissan Versa 2023;4.12;Masculino
108;Maria;Lopes;MoveX;Zona Oeste;111;4;Econômico;24;Chevrolet Onix 2022;4.88;Masculino
109;Camila;Vieira;MoveX;Centro;304;24;Econômico;28;Fiat Mobi 2022;4.15;Feminino
110;Isadora;Silva;MoveX;Zona Norte;147;46;Black;22;Jeep Commander 2023;4.80;Feminino
111;Felipe;Silva;MoveX;Centro;455;28;Black;23;Toyota Corolla Cross 2024;4.69;Feminino
112;Pedro;Costa;RideUp;Zona Oeste;499;36;Econômico;58;Citroën C3 2023;4.85;Feminino
113;Alice;Martins;GoDrive;Zona Leste;212;56;Comfort;36;Chevrolet Tracker 2022;4.95;Masculino
114;Laura;Oliveira;RideUp;Zona Norte;111;60;Comfort;35;Jeep Renegade 2021;4.76;Masculino
115;Rafael;Oliveira;MoveX;Centro;402;3;Econômico;37;Citroën C3 2023;4.19;Feminino
116;Lara;Pereira;GoDrive;Zona Leste;130;49;Comfort;28;VW Virtus 2022;4.53;Masculino
117;Julia;Santos;GoDrive;Centro;469;21;Comfort;45;Honda City 2021;4.88;Masculino
118;Carla;Pereira;MoveX;Centro;355;43;Econômico;38;Chevrolet Onix 2022;4.00;Masculino
119;Heitor;Silva;RideUp;Zona Sul;237;27;Econômico;58;Hyundai HB20 2023;4.66;Masculino
120;Bruno;Alves;RideUp;Centro;233;8;Comfort;59;Jeep Renegade 2021;4.89;Masculino
121;Gabriel;Pereira;MoveX;Zona Sul;430;22;Black;34;Jeep Compass 2023;4.77;Masculino
122;Helena;Pereira;GoDrive;Zona Norte;151;58;Black;39;Jeep Compass 2023;4.08;Masculino
123;Alice;Gomes;RideUp;Zona Leste;69;5;Comfort;51;Jeep Renegade 2021;4.02;Masculino
124;Gustavo;Santos;MoveX;Zona Oeste;242;2;Comfort;21;Honda City 2021;4.27;Feminino
125;Rafael;Carvalho;GoDrive;Zona Leste;98;34;Comfort;33;Jeep Renegade 2021;4.92;Masculino
126;Julia;Almeida;MoveX;Zona Norte;402;57;Black;60;VW Taos 2023;4.99;Masculino
127;Laura;Lopes;RideUp;Zona Norte;344;16;Black;42;Honda Civic 2022;4.01;Feminino
128;Rafael;Fernandes;GoDrive;Zona Leste;315;10;Econômico;21;Citroën C3 2023;4.90;Feminino
129;Lucas;Silva;GoDrive;Zona Norte;202;60;Econômico;42;Toyota Etios 2020;4.58;Masculino
130;Valentina;Vieira;RideUp;Centro;279;31;Comfort;37;Jeep Renegade 2021;4.24;Feminino
131;Heitor;Ferreira;GoDrive;Zona Sul;25;2;Black;46;Jeep Commander 2023;4.33;Masculino
132;Rafael;Ribeiro;MoveX;Zona Norte;117;48;Black;53;Jeep Compass 2023;4.98;Masculino
133;Pedro;Rodrigues;GoDrive;Zona Oeste;303;53;Econômico;55;Citroën C3 2023;4.26;Feminino
134;Isadora;Oliveira;GoDrive;Zona Sul;287;4;Econômico;40;VW Polo Track 2023;4.71;Masculino
135;Matheus;Lima;GoDrive;Zona Norte;163;24;Black;48;Honda Civic 2022;4.55;Masculino
136;Valentina;Alves;RideUp;Zona Leste;216;13;Comfort;36;Jeep Renegade 2021;4.93;Masculino
137;Gustavo;Carvalho;GoDrive;Zona Oeste;212;33;Econômico;40;Hyundai HB20 2023;4.21;Feminino
138;Rafael;Costa;MoveX;Zona Norte;455;50;Black;23;Toyota Corolla Cross 2024;4.25;Masculino
139;Isadora;Lima;MoveX;Zona Oeste;473;1;Econômico;51;Toyota Etios 2020;4.88;Feminino
140;Ana;Lima;GoDrive;Zona Leste;55;19;Black;48;Toyota Corolla Cross 2024;4.69;Feminino
141;Sofia;Almeida;MoveX;Zona Norte;251;55;Black;32;Toyota Corolla 2024;4.02;Masculino
142;Lara;Barbosa;GoDrive;Zona Sul;284;22;Comfort;31;Jeep Renegade 2021;4.79;Feminino
143;Lara;Costa;GoDrive;Zona Leste;51;57;Comfort;54;Nissan Versa 2023;4.22;Masculino
144;Gael;Barbosa;GoDrive;Zona Norte;335;59;Econômico;55;Hyundai HB20 2023;4.44;Masculino
145;Gustavo;Fernandes;GoDrive;Zona Norte;418;51;Econômico;31;Hyundai HB20 2023;4.53;Masculino
146;Laura;Barbosa;RideUp;Zona Oeste;152;58;Black;27;VW Taos 2023;4.42;Feminino
147;Carla;Lopes;MoveX;Zona Norte;20;37;Econômico;58;Fiat Mobi 2022;4.29;Feminino
148;Lara;Soares;MoveX;Zona Oeste;36;59;Comfort;27;Chevrolet Onix Plus 2023;4.28;Feminino
149;Lara;Santos;MoveX;Centro;59;51;Econômico;26;VW Polo Track 2023;4.88;Masculino
150;Maria;Costa;GoDrive;Zona Leste;204;30;Comfort;50;Nissan Versa 2023;4.84;Feminino
151;Lara;Soares;GoDrive;Zona Norte;208;15;Black;56;Toyota Corolla 2024;4.43;Masculino
152;Maria;Silva;RideUp;Zona Sul;332;52;Comfort;55;Jeep Renegade 2021;4.28;Feminino
153;Julia;Barbosa;GoDrive;Centro;226;60;Econômico;55;Citroën C3 2023;4.53;Feminino
154;Arthur;Vieira;RideUp;Zona Sul;46;38;Comfort;49;Fiat Cronos 2023;4.06;Masculino
155;Arthur;Vieira;GoDrive;Centro;307;22;Black;53;VW Taos 2023;4.70;Feminino
156;Rafael;Costa;GoDrive;Zona Sul;184;21;Black;56;Toyota Corolla 2024;4.51;Feminino
157;Maria;Rodrigues;RideUp;Centro;37;7;Econômico;29;Renault Kwid 2024;4.76;Masculino
158;Rafael;Souza;MoveX;Zona Oeste;415;16;Comfort;25;Chevrolet Onix Plus 2023;4.94;Masculino
159;Lara;Gomes;RideUp;Centro;319;40;Comfort;39;Nissan Kicks 2022;4.16;Masculino
160;Gustavo;Carvalho;MoveX;Centro;376;22;Comfort;36;Nissan Versa 2023;4.32;Feminino
161;Miguel;Barbosa;RideUp;Zona Oeste;162;50;Comfort;48;Nissan Kicks 2022;4.98;Feminino
162;Lucas;Rodrigues;RideUp;Zona Norte;202;10;Econômico;32;Hyundai HB20 2023;4.10;Masculino
163;Maria;Pereira;RideUp;Zona Sul;164;25;Comfort;35;Chevrolet Tracker 2022;4.25;Feminino
164;Matheus;Barbosa;GoDrive;Zona Oeste;228;46;Comfort;32;Jeep Renegade 2021;4.10;Masculino
165;Felipe;Almeida;GoDrive;Centro;489;32;Econômico;52;Toyota Etios 2020;4.29;Feminino
166;Heitor;Costa;RideUp;Zona Leste;216;60;Black;24;Honda Civic 2022;4.83;Masculino
167;Bruno;Oliveira;GoDrive;Zona Sul;209;3;Econômico;35;Chevrolet Onix 2022;4.47;Masculino
168;Laura;Souza;GoDrive;Zona Sul;265;51;Comfort;34;Nissan Versa 2023;4.29;Feminino
169;Maria;Pereira;MoveX;Centro;298;46;Econômico;50;Fiat Mobi 2022;4.97;Feminino
170;Alice;Santos;RideUp;Zona Norte;470;57;Comfort;40;Chevrolet Onix Plus 2023;4.56;Feminino
171;Rafael;Silva;GoDrive;Zona Leste;129;43;Comfort;30;Nissan Kicks 2022;4.48;Feminino
172;Arthur;Ribeiro;GoDrive;Zona Leste;459;15;Econômico;33;Chevrolet Onix 2022;4.15;Feminino
173;Julia;Souza;RideUp;Zona Norte;398;53;Econômico;43;VW Polo Track 2023;4.45;Feminino
174;Bernardo;Rodrigues;RideUp;Zona Leste;371;58;Comfort;22;Jeep Renegade 2021;4.65;Feminino
175;Felipe;Fernandes;MoveX;Zona Oeste;391;22;Comfort;35;Fiat Cronos 2023;4.41;Masculino
176;Helena;Fernandes;RideUp;Centro;249;10;Black;32;Toyota Corolla Cross 2024;4.80;Masculino
177;Gustavo;Barbosa;MoveX;Zona Norte;230;42;Black;59;Jeep Commander 2023;4.47;Masculino
178;Heitor;Fernandes;MoveX;Zona Norte;121;32;Black;60;Jeep Compass 2023;4.76;Masculino
179;Bruno;Ribeiro;RideUp;Zona Oeste;147;18;Comfort;59;VW Virtus 2022;4.00;Masculino
180;Felipe;Lima;GoDrive;Zona Oeste;215;37;Econômico;31;Renault Kwid 2024;4.28;Feminino
181;Gabriel;Vieira;MoveX;Centro;197;38;Comfort;52;VW Virtus 2022;4.11;Feminino
182;Lara;Oliveira;MoveX;Zona Sul;72;36;Econômico;22;Citroën C3 2023;4.23;Masculino
183;Pedro;Fernandes;MoveX;Zona Leste;248;30;Comfort;43;Jeep Renegade 2021;4.37;Feminino
184;Maria;Ribeiro;MoveX;Zona Sul;337;13;Econômico;21;Fiat Argo 2021;4.04;Masculino
185;Heloísa;Vieira;RideUp;Zona Oeste;83;6;Econômico;56;VW Polo Track 2023;4.96;Feminino
186;Alice;Fernandes;GoDrive;Zona Norte;324;28;Econômico;37;Toyota Etios 2020;4.17;Masculino
187;Bruno;Souza;RideUp;Zona Norte;327;40;Comfort;60;Honda City 2021;4.31;Masculino
188;Laura;Lima;RideUp;Zona Sul;249;24;Comfort;33;Jeep Renegade 2021;4.12;Feminino
189;Julia;Alves;GoDrive;Zona Oeste;168;1;Comfort;21;Nissan Versa 2023;4.07;Feminino
190;Julia;Ribeiro;RideUp;Zona Norte;111;51;Comfort;22;Nissan Versa 2023;4.04;Feminino
191;Camila;Lopes;MoveX;Zona Sul;240;36;Econômico;44;Hyundai HB20 2023;4.08;Masculino
192;Bruno;Ferreira;MoveX;Zona Oeste;443;33;Comfort;57;Chevrolet Onix Plus 2023;4.66;Masculino
193;Julia;Martins;MoveX;Zona Oeste;423;4;Comfort;43;VW Virtus 2022;4.61;Feminino
194;Arthur;Costa;RideUp;Zona Sul;280;40;Econômico;52;VW Polo Track 2023;4.12;Masculino
195;Sofia;Carvalho;RideUp;Zona Oeste;237;59;Comfort;54;Fiat Cronos 2023;4.56;Feminino
196;Lara;Vieira;MoveX;Zona Sul;259;18;Comfort;26;Nissan Versa 2023;4.25;Masculino
197;Gabriel;Vieira;GoDrive;Centro;171;43;Comfort;51;Chevrolet Onix Plus 2023;4.58;Feminino
198;Maria;Costa;GoDrive;Zona Norte;32;53;Comfort;22;Nissan Kicks 2022;4.75;Masculino
199;Maria;Rodrigues;RideUp;Zona Leste;423;33;Comfort;54;VW Virtus 2022;4.72;Feminino
200;Arthur;Barbosa;MoveX;Zona Sul;482;11;Black;38;Jeep Compass 2023;4.40;Masculino
201;Sofia;Almeida;RideUp;Zona Oeste;125;51;Comfort;60;Honda City 2021;4.11;Feminino
202;Laura;Silva;MoveX;Zona Leste;197;49;Black;49;Toyota Corolla Cross 2024;4.47;Feminino
203;Matheus;Gomes;RideUp;Zona Sul;21;43;Black;49;Toyota Corolla Cross 2024;4.82;Feminino
204;Bruno;Lopes;RideUp;Zona Leste;200;20;Econômico;25;Toyota Etios 2020;4.32;Masculino
205;Valentina;Alves;GoDrive;Zona Norte;342;35;Comfort;38;Chevrolet Onix Plus 2023;4.63;Feminino
206;Gabriel;Rodrigues;RideUp;Zona Sul;145;15;Black;58;Honda Civic 2022;4.91;Masculino
207;Arthur;Carvalho;MoveX;Zona Leste;400;9;Black;26;Honda Civic 2022;4.30;Feminino
208;Isadora;Vieira;MoveX;Centro;453;25;Comfort;29;Chevrolet Onix Plus 2023;4.00;Masculino
209;Gustavo;Alves;GoDrive;Zona Leste;362;29;Comfort;59;Chevrolet Onix Plus 2023;4.17;Feminino
210;Matheus;Rodrigues;MoveX;Centro;94;25;Black;45;Jeep Compass 2023;4.93;Masculino
211;Carla;Ferreira;GoDrive;Zona Leste;26;42;Black;51;Jeep Commander 2023;4.67;Feminino
212;Laura;Rodrigues;RideUp;Zona Leste;358;22;Econômico;52;Renault Kwid 2024;4.15;Masculino
213;Gabriel;Vieira;RideUp;Zona Leste;254;53;Comfort;52;VW Virtus 2022;4.12;Masculino
214;Heloísa;Vieira;RideUp;Zona Sul;22;34;Black;49;Jeep Compass 2023;4.60;Feminino
215;Isadora;Costa;RideUp;Zona Oeste;469;43;Black;21;Toyota Corolla Cross 2024;4.35;Feminino
216;Carla;Ferreira;MoveX;Zona Oeste;104;47;Econômico;55;Citroën C3 2023;4.35;Feminino
217;Julia;Santos;RideUp;Zona Leste;397;56;Comfort;23;Fiat Cronos 2023;4.91;Feminino
218;Miguel;Silva;RideUp;Zona Norte;382;5;Econômico;22;VW Polo Track 2023;4.69;Feminino
219;Rafael;Soares;GoDrive;Zona Oeste;295;25;Comfort;23;Fiat Cronos 2023;4.92;Masculino
220;Sofia;Fernandes;RideUp;Zona Oeste;192;59;Comfort;49;Nissan Kicks 2022;4.26;Masculino
221;Ana;Lima;GoDrive;Zona Leste;435;55;Comfort;32;Jeep Renegade 2021;4.47;Feminino
222;Rafael;Silva;RideUp;Zona Oeste;318;9;Econômico;50;Fiat Argo 2021;4.91;Feminino
223;Gael;Soares;RideUp;Centro;318;38;Econômico;30;Citroën C3 2023;4.75;Feminino
224;Helena;Souza;GoDrive;Zona Sul;455;34;Black;50;Toyota Corolla Cross 2024;4.00;Masculino
225;Helena;Vieira;GoDrive;Zona Oeste;310;23;Econômico;32;Fiat Argo 2021;4.49;Feminino
226;Heitor;Souza;MoveX;Zona Sul;423;20;Comfort;54;Honda City 2021;4.56;Masculino
227;Gustavo;Fernandes;MoveX;Zona Oeste;359;41;Comfort;25;Fiat Cronos 2023;4.91;Masculino
228;Heloísa;Silva;RideUp;Centro;326;33;Comfort;50;Nissan Versa 2023;4.84;Feminino
229;Pedro;Carvalho;GoDrive;Zona Sul;347;40;Comfort;38;Jeep Renegade 2021;4.08;Feminino
230;Lara;Rodrigues;GoDrive;Zona Oeste;216;58;Comfort;42;Nissan Kicks 2022;4.19;Masculino
231;Heloísa;Rodrigues;RideUp;Zona Leste;66;53;Black;54;Jeep Commander 2023;4.46;Feminino
232;Arthur;Pereira;RideUp;Zona Sul;242;53;Black;58;Jeep Compass 2023;4.71;Feminino
233;Ana;Silva;MoveX;Zona Norte;110;27;Econômico;34;Renault Kwid 2024;4.95;Feminino
234;Bernardo;Alves;GoDrive;Zona Leste;134;59;Econômico;39;VW Polo Track 2023;4.94;Masculino
235;Matheus;Ferreira;MoveX;Zona Oeste;477;27;Comfort;36;VW Virtus 2022;4.47;Feminino
236;Alice;Lima;MoveX;Zona Leste;85;40;Black;24;Jeep Commander 2023;4.49;Feminino
237;Lucas;Soares;RideUp;Zona Oeste;301;12;Black;25;Honda Civic 2022;4.48;Feminino
238;Miguel;Vieira;GoDrive;Zona Sul;103;27;Econômico;22;Hyundai HB20 2023;4.57;Feminino
239;Helena;Vieira;GoDrive;Zona Norte;210;46;Comfort;54;Chevrolet Tracker 2022;4.33;Masculino
240;Carla;Silva;GoDrive;Zona Leste;262;39;Comfort;31;Honda City 2021;4.95;Masculino
241;Carla;Rodrigues;MoveX;Zona Oeste;188;31;Econômico;46;Fiat Argo 2021;4.69;Feminino
242;Carla;Barbosa;MoveX;Zona Sul;171;32;Comfort;24;Honda City 2021;4.24;Masculino
243;Ana;Costa;GoDrive;Zona Sul;186;26;Econômico;60;Citroën C3 2023;4.64;Feminino
244;Isadora;Santos;MoveX;Centro;73;48;Econômico;46;Toyota Etios 2020;4.80;Feminino
245;Julia;Ferreira;MoveX;Zona Norte;72;25;Black;34;VW Taos 2023;4.55;Feminino
246;Laura;Ribeiro;MoveX;Zona Sul;235;1;Comfort;25;Hyundai HB20S 2022;4.09;Feminino
247;Arthur;Almeida;RideUp;Zona Norte;487;7;Black;24;Toyota Corolla 2024;4.40;Masculino
248;Maria;Lima;MoveX;Zona Norte;296;1;Black;42;Toyota Corolla Cross 2024;4.21;Masculino
249;Felipe;Almeida;MoveX;Centro;491;56;Comfort;38;Chevrolet Tracker 2022;4.45;Masculino
250;Rafael;Ferreira;RideUp;Zona Sul;343;49;Comfort;59;Nissan Kicks 2022;4.37;Masculino
251;Helena;Pereira;MoveX;Zona Norte;191;37;Comfort;41;VW Virtus 2022;4.07;Feminino
252;Heitor;Fernandes;MoveX;Zona Norte;300;23;Econômico;35;Toyota Etios 2020;4.94;Masculino
